Frequencia(GHZ),Atenuacao(dB)
2.000000000000000,-0.497221060677862
2.500000000000000,-0.784405682151560
3.000000000000000,-1.145504105940390
3.500000000000000,-1.587881633175134
4.000000000000000,-2.121268583346562
4.500000000000000,-2.758737346302593
5.000000000000000,-3.517809973934481
5.500000000000000,-4.422875910850403
6.000000000000000,-5.508890952248986
6.500000000000000,-6.827913715329685
7.000000000000000,-8.463963056795182
7.500000000000000,-10.564291771747403
8.000000000000000,-13.426773094170489
8.500000000000000,-17.818622686432978
9.000000000000000,-27.258583005081654
9.500000000000000,-27.564285189373209
10.000000000000000,-17.989556821630863
10.500000000000000,-13.610895997729282
11.000000000000000,-10.781044809960742
11.500000000000000,-8.717533511344499
12.000000000000000,-7.117913800247766
