Frequencia(GHZ),Atenuacao(dB)
5.000000000000000,-0.149549068640721
5.500000000000000,-0.214877744284695
6.000000000000000,-0.315100880439907
6.500000000000000,-0.477790357659843
7.000000000000000,-0.762732126881661
7.500000000000000,-1.314763613831861
8.000000000000000,-2.549042465567259
8.500000000000000,-5.912272444738117
9.000000000000000,-22.025830005390947
9.500000000000000,-8.395491351114679
10.000000000000000,-3.557693650912945
10.500000000000000,-1.888352281025988
11.000000000000000,-1.150030375785970
11.500000000000000,-0.767198816435736
12.000000000000000,-0.544793087070797
12.500000000000000,-0.404535490113889
13.000000000000000,-0.310197889494549
13.500000000000000,-0.243435561217780
14.000000000000000,-0.194002776199030
14.500000000000000,-0.155443050061075
15.000000000000000,-0.213209279912732
