Frequencia(GHZ),Atenuacao(dB)
1.000000000000000,-0.648876848820591
1.250000000000000,-0.984706714105553
1.500000000000000,-1.381627876881738
1.750000000000000,-1.836047954384046
2.000000000000000,-2.345441331932864
2.250000000000000,-2.908733431148541
2.500000000000000,-3.526687889781055
2.750000000000000,-4.202284191498769
3.000000000000000,-4.941174200272569
3.250000000000000,-5.752561701780130
3.500000000000000,-6.650052929994618
3.750000000000000,-7.653668126695965
4.000000000000000,-8.793034521414334
4.250000000000000,-10.112912795166855
4.500000000000000,-11.684570516046653
4.750000000000000,-13.630351540212216
5.000000000000000,-16.185702026395344
5.250000000000000,-19.901486592507151
5.500000000000000,-26.685191067391496
5.750000000000000,-36.545684437726187
6.000000000000000,-23.054002142467546
6.250000000000000,-17.723821296125443
6.500000000000000,-14.361792961141914
6.750000000000000,-11.889132314370201
7.000000000000000,-9.929831713663564
7.250000000000000,-8.310590473058078
7.500000000000000,-6.939066796662342
7.750000000000000,-5.761460370094969
8.000000000000000,-4.746119327205213
8.250000000000000,-3.868734298520172
8.500000000000000,-3.117071654674756
8.750000000000000,-2.480056020517199
9.000000000000000,-1.948804195647868
9.250000000000000,-1.515112950065795
9.500000000000000,-1.170808690941709
9.750000000000000,-0.907335530588245
10.000000000000000,-0.715820529184278
