Frequencia(GHZ),Atenuacao(dB)
1.000000000000000,-1.111629602833722
1.250000000000000,-1.724757070867046
1.500000000000000,-2.482711618089939
1.750000000000000,-3.400211231492706
2.000000000000000,-4.502223179157056
2.250000000000000,-5.830181105621091
2.500000000000000,-7.454027833130593
2.750000000000000,-9.498493951638162
3.000000000000000,-12.210861073608092
3.250000000000000,-16.190764202246783
3.500000000000000,-23.679239155255370
3.750000000000000,-31.843647537455613
4.000000000000000,-19.008716203690003
4.250000000000000,-14.081582976465096
4.500000000000000,-11.030996061605642
4.750000000000000,-8.849787702992369
5.000000000000000,-7.178401806859257
5.250000000000000,-5.846961711063535
5.500000000000000,-4.761552135060228
5.750000000000000,-3.864582791131367
6.000000000000000,-3.118074416308765
6.250000000000000,-2.495216270961792
6.500000000000000,-1.976272760393123
6.750000000000000,-1.545992136950217
7.000000000000000,-1.192196624527374
7.250000000000000,-0.904940402696801
7.500000000000000,-0.675937983984681
7.750000000000000,-0.498236845775818
8.000000000000000,-0.365857450617916
8.250000000000000,-0.273963082146820
8.500000000000000,-0.218822810588000
8.750000000000000,-0.197857510388863
9.000000000000000,-0.210289682001165
9.250000000000000,-0.258123074490863
9.500000000000000,-0.349006857527791
9.750000000000000,-0.504333298354427
10.000000000000000,-0.788004455806131
