Frequencia(GHZ),Atenuacao(dB)
1.000000000000000,-0.533525297241635
1.250000000000000,-0.802083842523671
1.500000000000000,-1.112537228624648
1.750000000000000,-1.458486249980903
2.000000000000000,-1.834002261230985
2.250000000000000,-2.233861534356743
2.500000000000000,-2.653681219792977
2.750000000000000,-3.089940209012506
3.000000000000000,-3.539965159184586
3.250000000000000,-4.001883507464227
3.500000000000000,-4.474506556920363
3.750000000000000,-4.957339439391977
4.000000000000000,-5.450452617008603
4.250000000000000,-5.954462922384227
4.500000000000000,-6.470576143561759
4.750000000000000,-7.000483208677527
5.000000000000000,-7.546514523889333
5.250000000000000,-8.111595923042723
5.500000000000000,-8.699436241254967
5.750000000000000,-9.314610270833351
6.000000000000000,-9.962878908625875
6.250000000000000,-10.651570231790938
6.500000000000000,-11.390012171373961
6.750000000000000,-12.190237568186802
7.000000000000000,-13.068354973781938
7.250000000000000,-14.046481992026344
7.500000000000000,-15.155837062981078
7.750000000000000,-16.442918670724996
8.000000000000000,-17.981155554244026
8.250000000000000,-19.896268173325517
8.500000000000000,-22.431901220308340
8.750000000000000,-26.159140672821486
9.000000000000000,-33.067329927500609
9.250000000000000,-39.849942326252226
9.500000000000000,-28.296583556446219
9.750000000000000,-23.081122680435925
10.000000000000000,-19.665468284171251
