Frequencia(GHZ),Atenuacao(dB)
1.000000000000000,-0.538252013164654
1.250000000000000,-0.811932417508520
1.500000000000000,-1.130685495554441
1.750000000000000,-1.488983351995024
2.000000000000000,-1.881743587061917
2.250000000000000,-2.304563129008212
2.500000000000000,-2.753873371899221
2.750000000000000,-3.226994064829464
3.000000000000000,-3.722172924230092
3.250000000000000,-4.238548419279233
3.500000000000000,-4.776165781012109
3.750000000000000,-5.335991808941247
4.000000000000000,-5.919898326161969
4.250000000000000,-6.530775020708610
4.500000000000000,-7.172693924700328
4.750000000000000,-7.851042866123190
5.000000000000000,-8.573004485856787
5.250000000000000,-9.347900142153517
5.500000000000000,-10.188168678981482
5.750000000000000,-11.110479637389217
6.000000000000000,-12.137954018575993
6.250000000000000,-13.303767215997459
6.500000000000000,-14.657577926226905
6.750000000000000,-16.278511074267836
7.000000000000000,-18.304240747904938
7.250000000000000,-21.007839747823780
7.500000000000000,-25.061470121217837
7.750000000000000,-33.064350276670751
8.000000000000000,-35.805506606630189
8.250000000000000,-25.697803123571500
8.500000000000000,-20.902806672218176
8.750000000000000,-17.702820077332220
9.000000000000000,-15.266550587820737
9.250000000000000,-13.277028461078215
9.500000000000000,-11.580899780365792
9.750000000000000,-10.093119816749768
10.000000000000000,-8.762575269024083
