Frequencia(GHZ),Atenuacao(dB)
2.000000000000000,-2.018134183299027
2.500000000000000,-2.980090452322386
3.000000000000000,-4.064650853812310
3.500000000000000,-5.266988248368220
4.000000000000000,-6.600612723001213
4.500000000000000,-8.101241366075717
5.000000000000000,-9.836228762800211
5.500000000000000,-11.929802321525905
6.000000000000000,-14.630277105963152
6.500000000000000,-18.541305056484561
7.000000000000000,-25.951849846197014
7.500000000000000,-34.092741651287398
8.000000000000000,-20.703755654742626
8.500000000000000,-15.434319061063006
9.000000000000000,-11.981953846920852
9.500000000000000,-9.340910739674525
10.000000000000000,-7.161446084914585
10.500000000000000,-5.292906585543149
11.000000000000000,-3.674754721268327
11.500000000000000,-2.301366657118757
12.000000000000000,-1.209117743499397
