Frequencia(GHZ),Atenuacao(dB)
1.000000000000000,-0.408269641615854
1.250000000000000,-0.631164593021426
1.500000000000000,-0.905057335919106
1.750000000000000,-1.232399696124229
2.000000000000000,-1.616478718924342
2.250000000000000,-2.061635211261869
2.500000000000000,-2.573582212549967
2.750000000000000,-3.159848751849292
3.000000000000000,-3.830433539018079
3.250000000000000,-4.598796776903152
3.500000000000000,-5.483244210916238
3.750000000000000,-6.509544985186187
4.000000000000000,-7.715353395874943
4.250000000000000,-9.158289117400512
4.500000000000000,-10.932721998067050
4.750000000000000,-13.208823739309791
5.000000000000000,-16.346291639360341
5.250000000000000,-21.344777935260275
5.500000000000000,-33.867864472971092
5.750000000000000,-26.102426828653787
6.000000000000000,-18.753209145794006
6.250000000000000,-14.854052716787008
6.500000000000000,-12.212287697334034
6.750000000000000,-10.231655964764258
7.000000000000000,-8.663362856550666
7.250000000000000,-7.379177744361987
7.500000000000000,-6.304491929584242
7.750000000000000,-5.391907107207295
8.000000000000000,-4.609145343959670
8.250000000000000,-3.933351567973215
8.500000000000000,-3.347508143760848
8.750000000000000,-2.838494663001308
9.000000000000000,-2.396058881149560
9.250000000000000,-2.011521064232952
9.500000000000000,-1.678387109117149
9.750000000000000,-1.390669603912285
10.000000000000000,-1.143395703500513
