Frequencia(GHZ),Atenuacao(dB)
1.000000000000000,-0.240380509266643
1.250000000000000,-0.381581932637310
1.500000000000000,-0.560446307215237
1.750000000000000,-0.781131901782838
2.000000000000000,-1.048703442833606
2.250000000000000,-1.369800997711917
2.500000000000000,-1.752253501634825
2.750000000000000,-2.205809480428106
3.000000000000000,-2.742343864637058
3.250000000000000,-3.377006148925553
3.500000000000000,-4.129287939161515
3.750000000000000,-5.024433502590608
4.000000000000000,-6.097062174995818
4.250000000000000,-7.397229139456482
4.500000000000000,-9.002750300162711
4.750000000000000,-11.045332387620551
5.000000000000000,-13.780753316556316
5.250000000000000,-17.829955667756252
5.500000000000000,-25.589005087548617
5.750000000000000,-33.124133012618003
6.000000000000000,-20.480850493299339
6.250000000000000,-15.676829567572833
6.500000000000000,-12.719493647460832
6.750000000000000,-10.621059953373159
7.000000000000000,-9.021435314384629
7.250000000000000,-7.751402719287386
7.500000000000000,-6.716185322090362
7.750000000000000,-5.854928165444827
8.000000000000000,-5.127627180611901
8.250000000000000,-4.506188479557985
8.500000000000000,-3.970995333771228
8.750000000000000,-3.506090766790047
9.000000000000000,-3.099617250377683
9.250000000000000,-2.742109775942457
9.500000000000000,-2.426387036076804
9.750000000000000,-2.146173828636492
10.000000000000000,-1.896554596846688
