Frequencia(GHZ),Atenuacao(dB)
10.000000000000000,-1.744108571380390
10.500000000000000,-1.974415571951137
11.000000000000000,-2.231233040682469
11.500000000000000,-2.518484691559237
12.000000000000000,-2.841034700632014
12.500000000000000,-3.204834357671289
13.000000000000000,-3.617301703556104
13.500000000000000,-4.087782878089981
14.000000000000000,-4.628215926196705
14.500000000000000,-5.254082697863379
15.000000000000000,-5.986177550880739
15.500000000000000,-6.852843977532745
16.000000000000000,-7.894942643083682
16.500000000000000,-9.173578939376311
17.000000000000000,-10.787267876592377
17.500000000000000,-12.912099756417218
18.000000000000000,-15.913906389815597
18.500000000000000,-20.784922311861376
19.000000000000000,-31.612726220686504
19.500000000000000,-24.255260433185530
20.000000000000000,-17.395440902649455
20.500000000000000,-13.545944414696111
21.000000000000000,-10.904732717413863
21.500000000000000,-8.925798191877297
22.000000000000000,-7.372709348271174
22.500000000000000,-6.120862195409620
23.000000000000000,-5.095608722641131
23.500000000000000,-4.247756580305389
24.000000000000000,-3.542521929337825
24.500000000000000,-2.953953759169426
25.000000000000000,-2.461945002576262
