Frequencia(GHZ),Atenuacao(dB)
1.000000000000000,-1.307002190065891
1.250000000000000,-1.961084742326579
1.500000000000000,-2.717366396623406
1.750000000000000,-3.568663890203089
2.000000000000000,-4.514666682401328
2.250000000000000,-5.563137374769502
2.500000000000000,-6.731821972889179
2.750000000000000,-8.051960611586097
3.000000000000000,-9.575488438260679
3.250000000000000,-11.390279587888649
3.500000000000000,-13.656521026409031
3.750000000000000,-16.708606511605357
4.000000000000000,-21.450707621172075
4.250000000000000,-32.584652108397755
4.500000000000000,-27.710908316453157
4.750000000000000,-19.607965263660461
5.000000000000000,-15.405291873718342
5.250000000000000,-12.528208072292490
5.500000000000000,-10.327162540396122
5.750000000000000,-8.541320511572383
6.000000000000000,-7.042337946359129
6.250000000000000,-5.759920743410762
6.500000000000000,-4.653365033699805
6.750000000000000,-3.698525952342528
7.000000000000000,-2.880866674173707
7.250000000000000,-2.191396197672593
7.500000000000000,-1.623276710173036
7.750000000000000,-1.170535885916034
8.000000000000000,-0.826242700103303
8.250000000000000,-0.582535734340097
8.500000000000000,-0.430443664989169
8.750000000000000,-0.360868761324308
9.000000000000000,-0.365498864317998
9.250000000000000,-0.438794535248521
9.500000000000000,-0.581405165858616
9.750000000000000,-0.808931368534618
10.000000000000000,-1.184764665203661
