Frequencia(GHZ),Atenuacao(dB)
1.000000000000000,-0.401943194197215
1.500000000000000,-0.919442870483372
2.000000000000000,-1.691829690171351
2.500000000000000,-2.779714459634042
3.000000000000000,-4.281644367805776
3.500000000000000,-6.370541839353568
4.000000000000000,-9.402401310386157
4.500000000000000,-14.355269945057119
5.000000000000000,-27.103058229022754
5.500000000000000,-20.097044729802729
6.000000000000000,-12.654246191347820
6.500000000000000,-8.978048169066490
7.000000000000000,-6.637433644857754
7.500000000000000,-4.995583835291767
8.000000000000000,-3.784696200733695
8.500000000000000,-2.864754955375624
9.000000000000000,-2.152837152374167
9.500000000000000,-1.595929078824941
10.000000000000000,-1.158154324358352
