Frequencia(GHZ),Atenuacao(dB)
25.000000000000000,-7.230482785412601
25.500000000000000,-8.131794960851257
26.000000000000000,-9.189794673767263
26.500000000000000,-10.450567842632472
27.000000000000000,-11.986020430817467
27.500000000000000,-13.916744390101451
28.000000000000000,-16.470938261060319
28.500000000000000,-20.177837538978601
29.000000000000000,-26.845434876494856
29.500000000000000,-39.973137044715209
30.000000000000000,-24.329699191403776
30.500000000000000,-18.970817590670887
31.000000000000000,-15.727846503285573
31.500000000000000,-13.422949346163559
32.000000000000000,-11.653867539236098
32.500000000000000,-10.235427926527755
33.000000000000000,-9.064612337565100
33.500000000000000,-8.077901581130572
34.000000000000000,-7.235575028893704
34.500000000000000,-6.507882256399671
35.000000000000000,-5.873987048626602
35.500000000000000,-5.317777433618290
36.000000000000000,-4.827235481543294
36.500000000000000,-4.392081753440351
37.000000000000000,-4.004601770074580
37.500000000000000,-3.658364957196745
38.000000000000000,-3.347693661275872
38.500000000000000,-3.068276487453991
39.000000000000000,-2.816084545400768
39.500000000000000,-2.587970226053105
40.000000000000000,-2.380977949667062
