Frequencia(GHZ),Atenuacao(dB)
1.000000000000000,-1.081429580861133
1.250000000000000,-1.611660563365391
1.500000000000000,-2.213190393944249
1.750000000000000,-2.873279709272020
2.000000000000000,-3.583002090830749
2.250000000000000,-4.337331774930343
2.500000000000000,-5.135031782740394
2.750000000000000,-5.978524684504655
3.000000000000000,-6.873996655188559
3.250000000000000,-7.831859231605755
3.500000000000000,-8.867770629326000
3.750000000000000,-10.004550553701087
4.000000000000000,-11.275792548694808
4.250000000000000,-12.732591309291326
4.500000000000000,-14.457351468381411
4.750000000000000,-16.595180845711440
5.000000000000000,-19.438228154327671
5.250000000000000,-23.730297768722536
5.500000000000000,-32.686961566237827
5.750000000000000,-33.294641050993590
6.000000000000000,-23.642484436904262
6.250000000000000,-19.020425645450857
6.500000000000000,-15.910783693093599
6.750000000000000,-13.526525423799125
7.000000000000000,-11.570700885223774
7.250000000000000,-9.896514054644506
7.500000000000000,-8.423930183456488
7.750000000000000,-7.104966713585633
8.000000000000000,-5.912659616150710
8.250000000000000,-4.831746726963394
8.500000000000000,-3.856247342607570
8.750000000000000,-2.987077635989501
9.000000000000000,-2.229774204938172
9.250000000000000,-1.592615126844184
9.500000000000000,-1.084531370709502
9.750000000000000,-0.713343784088871
10.000000000000000,-0.485341875662480
