Frequencia(GHZ),Atenuacao(dB)
1.000000000000000,-1.272888834542601
1.250000000000000,-1.869467969955614
1.500000000000000,-2.527728628944816
1.750000000000000,-3.230031657842521
2.000000000000000,-3.964398069866090
2.250000000000000,-4.723849361469278
2.500000000000000,-5.505605292159438
2.750000000000000,-6.310370209501539
3.000000000000000,-7.141892981445933
3.250000000000000,-8.006869094566699
3.500000000000000,-8.915204489343767
3.750000000000000,-9.880680075041456
4.000000000000000,-10.922419163243557
4.250000000000000,-12.067315815046083
4.500000000000000,-13.354615570908177
4.750000000000000,-14.844466620303333
5.000000000000000,-16.636046308786486
5.250000000000000,-18.910701769093770
5.500000000000000,-22.058215650034487
5.750000000000000,-27.202885888553215
6.000000000000000,-41.122491616124655
6.250000000000000,-29.739193687085365
6.500000000000000,-22.730674382909104
6.750000000000000,-18.678770723640586
7.000000000000000,-15.743678988418374
7.250000000000000,-13.389883119282514
7.500000000000000,-11.388803336527578
7.750000000000000,-9.623418681535307
8.000000000000000,-8.029259460082614
8.250000000000000,-6.571890755677047
8.500000000000000,-5.236930225068954
8.750000000000000,-4.026257528131100
9.000000000000000,-2.955909483766749
9.250000000000000,-2.053029583917687
9.500000000000000,-1.351783680044665
9.750000000000000,-0.887812324717847
10.000000000000000,-0.702621236399518
