Frequencia(GHZ),Atenuacao(dB)
8.000000000000000,-1.574045634066864
8.500000000000000,-1.905093279308346
9.000000000000000,-2.304293193388645
9.500000000000000,-2.788707673454988
10.000000000000000,-3.380636641813096
10.500000000000000,-4.109874732346087
11.000000000000000,-5.017427366531818
11.500000000000000,-6.162304173963426
12.000000000000000,-7.634763016390613
12.500000000000000,-9.586028429283141
13.000000000000000,-12.310258936075495
13.500000000000000,-16.540595419865930
14.000000000000000,-25.458570334759848
14.500000000000000,-27.418532288444300
15.000000000000000,-17.332553150683047
15.500000000000000,-12.943498263024335
16.000000000000000,-10.195149133056679
16.500000000000000,-8.255040708172134
17.000000000000000,-6.801334982378195
17.500000000000000,-5.673110498482039
18.000000000000000,-4.776223837798224
