Frequencia(GHZ),Atenuacao(dB)
1.000000000000000,-1.322682296869866
1.250000000000000,-2.005510635767100
1.500000000000000,-2.812980674801263
1.750000000000000,-3.745701698083595
2.000000000000000,-4.813301553409837
2.250000000000000,-6.037747793328268
2.500000000000000,-7.459168913802807
2.750000000000000,-9.147435008954506
3.000000000000000,-11.228161004696529
3.250000000000000,-13.951369485912622
3.500000000000000,-17.921608952364060
3.750000000000000,-25.403267026644457
4.000000000000000,-33.014990330042991
4.250000000000000,-20.405336082524517
4.500000000000000,-15.392779510402834
4.750000000000000,-12.219094246632205
5.000000000000000,-9.895467892095711
5.250000000000000,-8.069905981890194
5.500000000000000,-6.578543096057534
5.750000000000000,-5.333391973985719
6.000000000000000,-4.282953413611833
6.250000000000000,-3.394962118144097
6.500000000000000,-2.648004962636967
6.750000000000000,-2.026630738177714
7.000000000000000,-1.518743834711382
7.250000000000000,-1.113860442412537
7.500000000000000,-0.802179832365192
7.750000000000000,-0.574153498005820
8.000000000000000,-0.420571354160767
8.250000000000000,-0.332775500100282
8.500000000000000,-0.303073179423358
8.750000000000000,-0.325243295880601
9.000000000000000,-0.395532642992921
9.250000000000000,-0.514472819239265
9.500000000000000,-0.691721931417181
9.750000000000000,-0.961355345380991
10.000000000000000,-1.448394231461540
