Frequencia(GHZ),Atenuacao(dB)
8.000000000000000,-1.937329904447364
8.500000000000000,-2.345158342224605
9.000000000000000,-2.837744616314199
9.500000000000000,-3.436919227437536
10.000000000000000,-4.171707197438941
10.500000000000000,-5.082229732091116
11.000000000000000,-6.226006823948064
11.500000000000000,-7.691346855754104
12.000000000000000,-9.626364975474070
12.500000000000000,-12.318957992008624
13.000000000000000,-16.480324652765734
13.500000000000000,-25.109792342163821
14.000000000000000,-27.975598139999153
14.500000000000000,-17.527384379220123
15.000000000000000,-13.051743066989490
15.500000000000000,-10.253613617241076
16.000000000000000,-8.276783759347259
16.500000000000000,-6.793353991749077
17.000000000000000,-5.640013658503918
17.500000000000000,-4.722277199444451
18.000000000000000,-3.979494338234039
