Frequencia(GHZ),Atenuacao(dB)
10.000000000000000,-1.284184364729848
10.500000000000000,-1.499624359805123
11.000000000000000,-1.753478650687242
11.500000000000000,-2.054951028901105
12.000000000000000,-2.416003268663832
12.500000000000000,-2.852789099253287
13.000000000000000,-3.386990210496490
13.500000000000000,-4.048782018603584
14.000000000000000,-4.881165894182858
14.500000000000000,-5.948386384386833
15.000000000000000,-7.349484878963531
15.500000000000000,-9.262093523451400
16.000000000000000,-12.035075792488797
16.500000000000000,-16.595260452168159
17.000000000000000,-27.801713789436722
17.500000000000000,-22.645347374402920
18.000000000000000,-14.673729394099807
18.500000000000000,-10.690455075273071
19.000000000000000,-8.120268750101333
19.500000000000000,-6.300893905983680
20.000000000000000,-4.953669320763532
